"CBD720.Code.or.Value","CBD720.Value.Description","CBD720.Count","CBD720.Cumulative","CBD720.Skip.to.Item"
"1","Always",1009,1009,NA
"2","Most of the time",888,1897,NA
"3","Sometimes",1198,3095,NA
"4","Rarely",772,3867,NA
"5","Never",572,4439,NA
"6","Never buy these items",275,4714,NA
"7","Refused",0,4714,NA
"9","Don't know",10,4724,NA
".","Missing",1675,6399,NA
