"DR1TM181.Code.or.Value","DR1TM181.Value.Description","DR1TM181.Count","DR1TM181.Cumulative","DR1TM181.Skip.to.Item"
"0 to 134.502","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
