"DR1TFIBE.Code.or.Value","DR1TFIBE.Value.Description","DR1TFIBE.Count","DR1TFIBE.Cumulative","DR1TFIBE.Skip.to.Item"
"0 to 113.9","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
