"DS1DS.Code.or.Value","DS1DS.Value.Description","DS1DS.Count","DS1DS.Cumulative","DS1DS.Skip.to.Item"
"1","Yes",2668,2668,NA
"2","No",5973,8641,NA
"7","Refused",0,8641,NA
"9","Don't know",0,8641,NA
".","Missing",1172,9813,NA
