"OHD13LAM.Code.or.Value","OHD13LAM.Value.Description","OHD13LAM.Count","OHD13LAM.Cumulative","OHD13LAM.Skip.to.Item"
"0 to 9","Range of Values",1424,1424,NA
"99","Calculation cannot be determined",392,1816,NA
".","Missing",4942,6758,NA
