"RHQ160.Code.or.Value","RHQ160.Value.Description","RHQ160.Count","RHQ160.Cumulative","RHQ160.Skip.to.Item"
"1 to 33","Range of Values",2192,2192,NA
"77","Refused",1,2193,NA
"99","Don't know",0,2193,NA
".","Missing",1425,3618,NA
