"SPAPLAT.Code.or.Value","SPAPLAT.Value.Description","SPAPLAT.Count","SPAPLAT.Cumulative","SPAPLAT.Skip.to.Item"
"Y","Yes",27602,27602,NA
"N","No",10059,37661,NA
"< blank >","Missing",0,37661,NA
