"URXUCR.Code.or.Value","URXUCR.Value.Description","URXUCR.Count","URXUCR.Cumulative","URXUCR.Skip.to.Item"
"0 to 800","Range of Values",7637,7637,NA
".","Missing",798,8435,NA
