"BPQ100A.Code.or.Value","BPQ100A.Value.Description","BPQ100A.Count","BPQ100A.Cumulative","BPQ100A.Skip.to.Item"
"1","Yes",1298,1298,NA
"2","No",242,1540,NA
"7","Refused",0,1540,NA
"9","Don't know",0,1540,NA
".","Missing",5006,6546,NA
