"DR2IM201.Code.or.Value","DR2IM201.Value.Description","DR2IM201.Count","DR2IM201.Cumulative","DR2IM201.Skip.to.Item"
"0 to 3.403","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
