"CIQPPA.Code.or.Value","CIQPPA.Value.Description","CIQPPA.Count","CIQPPA.Cumulative","CIQPPA.Skip.to.Item"
"1","Yes",6,6,"CIQPPD"
"2","No",26,32,""
"7","Refused",0,32,""
"9","Don't know",0,32,""
".","Missing",818,850,""
