"BMXARML.Code.or.Value","BMXARML.Value.Description","BMXARML.Count","BMXARML.Cumulative","BMXARML.Skip.to.Item"
"10 to 48.1","Range of Values",8826,8826,NA
".","Missing",512,9338,NA
