"RFXC102.Code.or.Value","RFXC102.Value.Description","RFXC102.Count","RFXC102.Cumulative","RFXC102.Skip.to.Item"
"-7.65 to 5.067","Range of Values",51061,51061,NA
".","Missing",15,51076,NA
