"OPDUAGA.Code.or.Value","OPDUAGA.Value.Description","OPDUAGA.Count","OPDUAGA.Cumulative","OPDUAGA.Skip.to.Item"
"0","No",3206,3206,NA
"1","Yes",18,3224,NA
".","Missing",639,3863,NA
