"URDACT.Code.or.Value","URDACT.Value.Description","URDACT.Count","URDACT.Cumulative","URDACT.Skip.to.Item"
"0.27 to 11676.92","Range of Values",7632,7632,NA
".","Missing",304,7936,NA
