"DXXWDGDE.Code.or.Value","DXXWDGDE.Value.Description","DXXWDGDE.Count","DXXWDGDE.Cumulative","DXXWDGDE.Skip.to.Item"
"-0.115 to 0.567","Range of Values",3295,3295,NA
".","Missing",413,3708,NA
