"WBXA103.Code.or.Value","WBXA103.Value.Description","WBXA103.Count","WBXA103.Cumulative","WBXA103.Skip.to.Item"
"-99.6758 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
