"AUQ150.Code.or.Value","AUQ150.Value.Description","AUQ150.Count","AUQ150.Cumulative","AUQ150.Skip.to.Item"
"1","Yes",217,217,""
"2","No",2175,2392,"AUQ185"
"7","Refused",0,2392,"AUQ185"
"9","Don't know",1,2393,"AUQ185"
".","Missing",7273,9666,""
