"DXXL1BMC.Code.or.Value","DXXL1BMC.Value.Description","DXXL1BMC.Count","DXXL1BMC.Cumulative","DXXL1BMC.Skip.to.Item"
"2.23 to 28.95","Range of Values",6192,6192,NA
".","Missing",1528,7720,NA
