"DSD128DD.Code.or.Value","DSD128DD.Value.Description","DSD128DD.Count","DSD128DD.Cumulative","DSD128DD.Skip.to.Item"
"38","FOR RELAXATION, DECREASE STRESS",6,6,NA
".","Missing",8394,8400,NA
