"DXXLSBMC.Code.or.Value","DXXLSBMC.Value.Description","DXXLSBMC.Count","DXXLSBMC.Cumulative","DXXLSBMC.Skip.to.Item"
"5.86 to 151.26","Range of Values",3912,3912,NA
".","Missing",1202,5114,NA
