"MCQ240k.Code.or.Value","MCQ240k.Value.Description","MCQ240k.Count","MCQ240k.Cumulative","MCQ240k.Skip.to.Item"
"51 to 69","Range of Values",4,4,NA
"80","80 years or older",0,4,NA
"77777","Refused",0,4,NA
"99999","Don't know",0,4,NA
".","Missing",9766,9770,NA
