"PUQ100.Code.or.Value","PUQ100.Value.Description","PUQ100.Count","PUQ100.Cumulative","PUQ100.Skip.to.Item"
"1","Yes",682,682,NA
"2","No",7126,7808,NA
"7","Refused",0,7808,NA
"9","Don't know",43,7851,NA
".","Missing",740,8591,NA
