"DR1TS040.Code.or.Value","DR1TS040.Value.Description","DR1TS040.Count","DR1TS040.Cumulative","DR1TS040.Skip.to.Item"
"0 to 9.39","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
