"MCQ092.Code.or.Value","MCQ092.Value.Description","MCQ092.Count","MCQ092.Cumulative","MCQ092.Skip.to.Item"
"1","Yes",770,770,""
"2","No",8262,9032,"MCQ120A"
"7","Refused",0,9032,"MCQ120A"
"9","Don't know",108,9140,"MCQ120A"
".","Missing",1330,10470,""
