"WBXP007.Code.or.Value","WBXP007.Value.Description","WBXP007.Count","WBXP007.Cumulative","WBXP007.Skip.to.Item"
"-113.8482 to 151.2211","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
