"WHQ270.Code.or.Value","WHQ270.Value.Description","WHQ270.Count","WHQ270.Cumulative","WHQ270.Skip.to.Item"
"1","Yes",350,350,""
"2","No",2164,2514,"WHQ185"
"7","Refused",0,2514,"WHQ185"
"9","Don't know",0,2514,"WHQ185"
".","Missing",3625,6139,""
