"LBXCOT.Code.or.Value","LBXCOT.Value.Description","LBXCOT.Count","LBXCOT.Cumulative","LBXCOT.Skip.to.Item"
"0.011 to 1149","Range of Values",8299,8299,NA
".","Missing",1630,9929,NA
