"FSD660ZC.Code.or.Value","FSD660ZC.Value.Description","FSD660ZC.Count","FSD660ZC.Cumulative","FSD660ZC.Skip.to.Item"
"1","Yes",552,552,NA
"2","No",437,989,NA
"7","Refused",0,989,NA
"9","Don't know",5,994,NA
".","Missing",8977,9971,NA
