"DMDHHSZE.Code.or.Value","DMDHHSZE.Value.Description","DMDHHSZE.Count","DMDHHSZE.Cumulative","DMDHHSZE.Skip.to.Item"
"0","0",7384,7384,NA
"1","1",1612,8996,NA
"2","2",1114,10110,NA
"3","3 or more",65,10175,NA
".","Missing",0,10175,NA
