"OSD030bg.Code.or.Value","OSD030bg.Value.Description","OSD030bg.Count","OSD030bg.Cumulative","OSD030bg.Skip.to.Item"
"18","18",1,1,NA
"80","80 or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",3814,3815,NA
