"URXUAS3.Code.or.Value","URXUAS3.Value.Description","URXUAS3.Count","URXUAS3.Cumulative","URXUAS3.Skip.to.Item"
"0.08 to 6.71","Range of Values",2521,2521,NA
".","Missing",84,2605,NA
