"LBX9AL.Code.or.Value","LBX9AL.Value.Description","LBX9AL.Count","LBX9AL.Cumulative","LBX9AL.Skip.to.Item"
"1.86 to 39.8","Range of Values",1534,1534,NA
".","Missing",790,2324,NA
