"URDEPBLC.Code.or.Value","URDEPBLC.Value.Description","URDEPBLC.Count","URDEPBLC.Cumulative","URDEPBLC.Skip.to.Item"
"0","At or above the detection limit",1186,1186,NA
"1","Below lower detection limit",1465,2651,NA
".","Missing",152,2803,NA
