"LBDSF5LC.Code.or.Value","LBDSF5LC.Value.Description","LBDSF5LC.Count","LBDSF5LC.Cumulative","LBDSF5LC.Skip.to.Item"
"0","At or above the detection limit",875,875,NA
"1","Below lower detection limit",7182,8057,NA
".","Missing",1108,9165,NA
