"WBXA014.Code.or.Value","WBXA014.Value.Description","WBXA014.Count","WBXA014.Cumulative","WBXA014.Skip.to.Item"
"-2.5879 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
