"OHD21LAS.Code.or.Value","OHD21LAS.Value.Description","OHD21LAS.Count","OHD21LAS.Cumulative","OHD21LAS.Skip.to.Item"
"0 to 13","Range of Values",1544,1544,NA
"99","Calculation cannot be determined",275,1819,NA
".","Missing",4939,6758,NA
