"BPXSY2.Code.or.Value","BPXSY2.Value.Description","BPXSY2.Count","BPXSY2.Cumulative","BPXSY2.Skip.to.Item"
"76 to 220","Range of Values",6876,6876,NA
".","Missing",2886,9762,NA
