"WTSB2YR.Code.or.Value","WTSB2YR.Value.Description","WTSB2YR.Count","WTSB2YR.Cumulative","WTSB2YR.Skip.to.Item"
"0 to 486352.50255","Range of Values",2638,2638,NA
".","Missing",0,2638,NA
