"SSN2FGL.Code.or.Value","SSN2FGL.Value.Description","SSN2FGL.Count","SSN2FGL.Cumulative","SSN2FGL.Skip.to.Item"
"0","At or above the detection limit",2217,2217,NA
"1","Below lower detection limit",9,2226,NA
".","Missing",753,2979,NA
