"AUXRR220.Code.or.Value","AUXRR220.Value.Description","AUXRR220.Count","AUXRR220.Cumulative","AUXRR220.Skip.to.Item"
"-24 to 57","Range of Values",1676,1676,NA
".","Missing",131,1807,NA
