"DR1IP205.Code.or.Value","DR1IP205.Value.Description","DR1IP205.Count","DR1IP205.Cumulative","DR1IP205.Skip.to.Item"
"0 to 2.005","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
