"URXMB3.Code.or.Value","URXMB3.Value.Description","URXMB3.Count","URXMB3.Cumulative","URXMB3.Skip.to.Item"
"0.424 to 261","Range of Values",2466,2466,NA
".","Missing",85,2551,NA
