"MCQ240AA.Code.or.Value","MCQ240AA.Value.Description","MCQ240AA.Count","MCQ240AA.Cumulative","MCQ240AA.Skip.to.Item"
"67","67",1,1,NA
"80","80 years or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",9665,9666,NA
