"VTQ230A.Code.or.Value","VTQ230A.Value.Description","VTQ230A.Count","VTQ230A.Cumulative","VTQ230A.Skip.to.Item"
"1","Yes",1678,1678,NA
"2","No",1537,3215,NA
"7","Refused",0,3215,NA
"9","Don't know",28,3243,NA
".","Missing",302,3545,NA
