"AUXRR215.Code.or.Value","AUXRR215.Value.Description","AUXRR215.Count","AUXRR215.Cumulative","AUXRR215.Skip.to.Item"
"-38 to 67","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
