"DR2TS040.Code.or.Value","DR2TS040.Value.Description","DR2TS040.Count","DR2TS040.Cumulative","DR2TS040.Skip.to.Item"
"0 to 7.263","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
