"MCQ371d.Code.or.Value","MCQ371d.Value.Description","MCQ371d.Count","MCQ371d.Cumulative","MCQ371d.Skip.to.Item"
"1","Yes",3572,3572,NA
"2","No",2583,6155,NA
"7","Refused",0,6155,NA
"9","Don't know",6,6161,NA
".","Missing",2736,8897,NA
