"DXXPT15Y.Code.or.Value","DXXPT15Y.Value.Description","DXXPT15Y.Count","DXXPT15Y.Cumulative","DXXPT15Y.Skip.to.Item"
"115.9 to 310","Range of Values",3107,3107,NA
".","Missing",601,3708,NA
