"HCQ220.Code.or.Value","HCQ220.Value.Description","HCQ220.Count","HCQ220.Cumulative","HCQ220.Skip.to.Item"
"1","True",42,42,NA
"2","False",5,47,NA
"7","Refused",0,47,NA
"9","Don't know",10,57,NA
".","Missing",55,112,NA
