"BPQ100A.Code.or.Value","BPQ100A.Value.Description","BPQ100A.Count","BPQ100A.Cumulative","BPQ100A.Skip.to.Item"
"1","Yes",978,978,NA
"2","No",238,1216,NA
"7","Refused",0,1216,NA
"9","Don't know",1,1217,NA
".","Missing",4996,6213,NA
