"CSQ200.Code.or.Value","CSQ200.Value.Description","CSQ200.Count","CSQ200.Cumulative","CSQ200.Skip.to.Item"
"1","Yes",255,255,NA
"2","No",3558,3813,NA
"7","Refused",0,3813,NA
"9","Don't know",2,3815,NA
".","Missing",0,3815,NA
