"DR2EXMER.Code.or.Value","DR2EXMER.Value.Description","DR2EXMER.Count","DR2EXMER.Cumulative","DR2EXMER.Skip.to.Item"
"11 to 95","Range of Values",5903,5903,NA
".","Missing",0,5903,NA
