"LBXETD.Code.or.Value","LBXETD.Value.Description","LBXETD.Count","LBXETD.Cumulative","LBXETD.Skip.to.Item"
"1","Positive",58,58,NA
"2","Negative",314,372,NA
".","Missing",9557,9929,NA
