"DS1TFA.Code.or.Value","DS1TFA.Value.Description","DS1TFA.Count","DS1TFA.Cumulative","DS1TFA.Skip.to.Item"
"5 to 20400","Range of Values",1650,1650,NA
".","Missing",8163,9813,NA
