"BPXSY3.Code.or.Value","BPXSY3.Value.Description","BPXSY3.Count","BPXSY3.Cumulative","BPXSY3.Skip.to.Item"
"74 to 226","Range of Values",7588,7588,NA
".","Missing",2665,10253,NA
