"HSD010.Code.or.Value","HSD010.Value.Description","HSD010.Count","HSD010.Cumulative","HSD010.Skip.to.Item"
"1","Excellent",619,619,NA
"2","Very good,",1544,2163,NA
"3","Good,",2454,4617,NA
"4","Fair, or",1175,5792,NA
"5","Poor?",172,5964,NA
"7","Refused",1,5965,NA
"9","Don't know",3,5968,NA
".","Missing",2398,8366,NA
