"DSQTFDFE.Code.or.Value","DSQTFDFE.Value.Description","DSQTFDFE.Count","DSQTFDFE.Cumulative","DSQTFDFE.Skip.to.Item"
"0.2 to 4760","Range of Values",2588,2588,NA
".","Missing",7587,10175,NA
