"DXXPT81Y.Code.or.Value","DXXPT81Y.Value.Description","DXXPT81Y.Count","DXXPT81Y.Cumulative","DXXPT81Y.Skip.to.Item"
"62.5 to 308.2","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
