"LBDBGELC.Code.or.Value","LBDBGELC.Value.Description","LBDBGELC.Count","LBDBGELC.Cumulative","LBDBGELC.Skip.to.Item"
"0","At or above the detection limit",72,72,NA
"1","Below lower detection limit",7408,7480,NA
".","Missing",886,8366,NA
