"DXXSMY.Code.or.Value","DXXSMY.Value.Description","DXXSMY.Count","DXXSMY.Cumulative","DXXSMY.Skip.to.Item"
"64.3 to 305.5","Range of Values",3294,3294,NA
".","Missing",414,3708,NA
