"BMIWAIST.Code.or.Value","BMIWAIST.Value.Description","BMIWAIST.Count","BMIWAIST.Cumulative","BMIWAIST.Skip.to.Item"
"1","Could not obtain",479,479,NA
".","Missing",9774,10253,NA
