"DR2TALCO.Code.or.Value","DR2TALCO.Value.Description","DR2TALCO.Count","DR2TALCO.Cumulative","DR2TALCO.Skip.to.Item"
"0 to 405.5","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
