"WBXF063.Code.or.Value","WBXF063.Value.Description","WBXF063.Count","WBXF063.Cumulative","WBXF063.Skip.to.Item"
"2244.9241 to 2244.9241","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
